
Name,Description,Price
Bowl Piri-Feta Crunch,"Pechuga de pollo al carbón, hummus de remolacha con queso feta, ensaladilla de tomate cherry y cogollos de lechuga en aderezo Mayocilantro y granadas","14,75"
Patatas Fritas,Hechas en casa de manera artesanal,"Individual 4,50; Compartir 6,50"
Patatas Asadas,"Con romero, tomillo y ajo","Individual 5,50; Compartir 7,50"
Arroz Especial,Con cacahuetes y arándanos aromatizados con curry y cebollino,"Individual 5,50; Compartir 7,50"
Coliflow,"Coliflor asado a las brasas con salsa de albahaca, hummus de remolacha y granadas","Individual 7,50; Compartir 13,00"
Beren Hell,"Berenjena a las brasas con maple de Piri Piri, queso feta y cebolla crunch","Individual 6,50; Compartir 9,50"
Boniato Rostizado,"Con mantequilla de ajo, cebollino y sal gruesa","Individual 5,50; Compartir 7,50"
Costillas de Mazorcas Ahumadas,"Con mantequilla de ajo, sal gruesa, salsa Mayocilantro, queso parmesano y cebollino","Individual 7,50; Compartir 13,50"
Bowl Piri Piri,"Pechuga de pollo al carbón, boniato rostizado, crema de aguacate y ensaladilla de tomate cherry sobre arroz","14,75"
1/2 Pollo al Carbón,Asado al carbón con el acompañamiento que prefieras,"14,75"
Pollo Entero al Carbón,Asado al carbón con el acompañamiento a compartir,"26,00"
Suprema,Pechuga de pollo asada al carbón con el acompañamiento que prefieras,"14,50"
Alitas Originales,Asadas a las brasas,"12 unidades 13,50; 24 unidades 24,50; 36 unidades 35,50"
Alitas Asiáticas,Salsa asiática y crema de coco con topping de cebolla crunch y sésamo,"12 unidades 14,00; 24 unidades 26,50; 36 unidades 37,00"
Alitas Spicy Cheese,Salsa Piri Piri suave con topping crocante de queso picante,"12 unidades 14,00; 24 unidades 26,50; 36 unidades 37,00"
Alitas Lemon Garlic,Salsa cítrica con topping crocante de limón y ajo,"12 unidades 14,00; 24 unidades 26,50; 36 unidades 37,00"
Piri Crispy Burger,"Pollo super crujiente bañado en salsa Piri Piri Dulce, con queso americano, pepinillos, lechuga y mayonesa - ligeramente picante","14,00"
Special Burger,"Carne a la parrilla, queso americano fundido, pepinillo encurtido, cebolla morada y salsa especial","13,50"
Truffa Burger,"Carne a la parrilla, tiras de cebolla rebosadas y mayonesa trufada","14,00"
Cogollos al Fuego,Con mantequilla de anchoas y cebolla crunch,"10,00"
Salchicha Criolla,2 Salchichas a las brasas con patatas fritas,"11,00"
Chupachús de Pollo,Chupetas de pollo con salsa de turrón ahumado,"10,50"
Patatas Gozonas,"Patatas fritas con salsa Mayocilantro, queso parmesano, bacon, cebollino y toque de Piri Piri","11,50"
Gambuenazos,Gambones asados al carbón con mantequilla de anchoas,"12,50"
Vino Tinto 0.75 ml (Botella Alentejo Caiado),"Botella de vino tinto Alentejo Caiado (0,75 ml)","16,00"
Vino Blanco 0.75 ml (Botella Alentejo Caiado),"Botella de vino blanco Alentejo Caiado (0,75 ml)","16,00"
Copa de Vino,Copa de vino,"3,50"
Lemon Iced Tea,"Nuestra creación flipante: té frío con limón, mezclado con jengibre fresco y hierbabuena","3,50"
Tinto de Verano,"Vino tinto Alentejo, gaseosa de limón, naranja en rodaja, coronado con espuma de limón","4,75"
Morangao,"Licor Beirão, fresas, lima y hierbabuena","6,50"
Caipirao,"Licor Beirão, lima y hierbabuena","6,50"
Mango Lemonade,Limonada de mango,"3,50"
Sandy Lemonade,Limonada de sandía,"3,50"
Agua,Solán de Cabras,"3,00"
Agua con Gas,Solán de Cabras (con gas),"3,00"
Appletiser,Appletiser,"3,50"
Coca Cola Original,Coca Cola Original,"3,50"
Coca Cola Zero,Coca Cola Zero,"3,50"
Coca Cola Zero Zero,Coca Cola Zero Zero,"3,50"
Fanta de Naranja,Fanta de naranja,"3,50"
Aquarius Limón,Aquarius de limón,"3,50"
Zumos,Zumos,"3,50"
Cerveza Águila (Doble),Cerveza Águila doble,"3,50"
Cerveza Amstel Oro (Tercio),Cerveza Amstel Oro tercio,"3,80"
Cerveza Sin Alcohol Amstel (Tercio),Cerveza Amstel sin alcohol tercio,"3,50"
Cerveza Radler Amstel (Tercio),Cerveza Radler Amstel tercio,"3,80"
Cerveza Sin Gluten Cibeles (Tercio),Cerveza sin gluten Cibeles tercio,"3,80"
Citro Sangría,"Vino Tinto Alentejo, gaseosa de limón, Licor Beirão, naranjas y limones en rodajas","17,50"
Fresa Buena Splash,"Vino Blanco Alentejo, gaseosa, Licor Beirão, fresas y hierbabuenas","18,50"
Crackberry Lime,"(0% alcohol) Zumo de arándanos, zumo de limón fresco y sirope ligero de hierbabuena","14,00"
